ItemId,ItemName,Commentary
1105,Bébé Ixamandre,Doublon 1103
1106,Bébé Saute-nuages,Doublon 1102
1107,Bébé Chardent,Doublon 1101
2141,Jus chapi-chapo,pas en ranked
3177,Lame du gardien,pas en ranked
3330,Effigie d'épouvantail,fiddle only
3599,Lance noire de Kalista,Kalista only
3600,Lance noire de Kalista,Kalista only
663172,Zéphyr ,pas en ranked
663064,Talisman de l'ascension de Veigar,pas en ranked
663060,Épée du divin,pas en ranked
663059,Manteau de nuit étoilée,pas en ranked
663058,Bouclier de roche en fusion,pas en ranked
663056,Couronne du Roi-démon,pas en ranked
663039,Jugement d'Atma,pas en ranked
664011,Epée de l'aube,pas en ranked
664644,Couronne de la Reine brisée,pas en ranked
663193,Lithoplastron de gargouille,pas en ranked
667101,Lame du parieur,pas en ranked
667109,Cruauté,pas en ranked
667112,Nécrophage,pas en ranked
667666,Percepteur,doublon 6676
