ItemId,ItemName,Category,Marksman,Fighter,Assassin,Mage,Tank,Support
1001,Bottes,Boot,1,1,1,1,1,1
1004,Charme féérique,Basic,,,,,,1
1006,Collier rafraîchissant,Basic,,,,,1,
1011,Ceinture du géant,Epic,,,,1,1,1
1018,Cape d'agilité,Basic,1,,,,,
1026,Baguette explosive,Basic,,,,1,,
1027,Cristal de saphir,Basic,,,,1,1,
1028,Cristal de rubis,Basic,1,1,1,1,1,1
1029,Armure d'étoffe,Basic,1,1,1,1,1,1
1031,Cotte de mailles,Epic,,1,,,1,
1033,Cape de néant,Basic,1,1,1,1,1,1
1036,Épée longue,Basic,1,1,1,,,
1037,Pioche,Basic,1,1,1,,,
1038,BF Glaive,Basic,1,1,1,,,
1042,Dague,Basic,1,1,1,,,
1043,Arc courbe,Epic,1,1,,,,
1052,Tome d'amplification,Basic,,,,1,,1
1053,Sceptre vampirique,Epic,1,1,,,,
1054,Bouclier de Doran,Starter,,1,1,,1,
1055,Lame de Doran,Starter,1,1,1,,,
1056,Anneau de Doran,Starter,,,,1,,
1057,Manteau de Négatron,Epic,,1,,,1,1
1058,Baguette trop grosse,Basic,,,,1,,
1082,Sceau noir,Starter,,,,1,,
1083,Abatteur,Starter,1,1,1,,,
1086,Arc de Doran,Starter,1,,,,,
1101,Bébé Chardent,Starter,,,,,,
1102,Bébé Saute-nuages,Starter,,,,,,
1103,Bébé Ixamandre,Starter,,,,,,
1120,Casque de Doran,Starter,,1,,,1,
2003,Potion de soin,Consumable,,,,,,
2019,Sceau d'acier,Epic,1,1,1,,,
2020,Brutaliseur,Epic,,,1,,,
2021,Foreuse,Epic,,1,1,,1,
2022,Poussière luisante,Basic,1,1,1,1,1,1
2031,Potion rechargeable,Consumable,,,,,,
2051,Corne du gardien,Starter,,,,,,
2055,Balise de contrôle,Consumable,,,,,,
2065,Chant de guerre de Shurelya,Legendary,,,,,,1
2138,Élixir de fer,Consumable,,,,,,
2139,Élixir de sorcellerie,Consumable,,,,,,
2140,Élixir de rage,Consumable,,,,,,
2420,Protège-bras du savant,Epic,,,,1,,
2421,Protège-bras pulvérisé,Epic,,,,1,,
2501,Armure sanguine,Legendary,,1,,,1,
2502,Désespoir infini,Legendary,,,,,1,
2503,Torche noire,Legendary,,,,1,,
2504,Rookern kaénique,Legendary,,,,,1,
2508,Cendres fatidiques,Epic,,,,1,,
2510,Aube et crépuscule,Legendary,,,,1,,
2512,Chasseur de monstres,Legendary,1,,,,,
2517,Faim insatiable,Legendary,,1,,,,
2520,Briseur de bastion,Legendary,,,1,,,
2522,Actualisateur,Legendary,,,,1,,
2523,Lunettes Hextech C44,Legendary,1,,,,,
2524,Flûtes de Bandle,Legendary,,,,,1,1
2525,Harnais protoplasmique,Legendary,,,,,1,
2526,Diadème des murmures,Legendary,,,,,,1
3003,Bâton de l'archange,Legendary,,,,1,,
3004,Manamune,Legendary,,1,,,,
3006,Jambières du berzerker,Boot,1,,,,,
3008,Jambières gloutonnes,Boot,1,1,1,,,
3009,Bottes de célérité,Boot,,,1,,,1
3020,Chaussures de sorcier,Boot,,,,1,,
3024,Bouclier glacial,Epic,,,,,1,1
3026,Ange gardien,Legendary,1,1,1,,,
3031,Lame d'infini,Legendary,1,,,,,
3032,Flèches des Yun Tal,Legendary,1,,,,,
3033,Rappel mortel,Legendary,1,,,,,
3035,Dernier souffle,Epic,1,,1,,,
3036,Salutations de Dominik,Legendary,1,,,,,
3041,Voleur d'âmes de Mejai,Legendary,,,,1,,
3044,Phage,Epic,,1,,,,
3046,Danseur fantôme,Legendary,1,,,,,
3047,Coques en acier,Boot,1,1,1,,1,1
3050,Convergence de Zeke,Legendary,,,,,1,1
3051,Hache d'Âtrinsèque,Epic,1,1,,,,
3053,Gage de Sterak,Legendary,,1,,,,
3057,Brillance,Epic,1,1,,1,1,
3065,Visage spirituel,Legendary,,,,,1,
3066,Plaque de lune ailée,Epic,,1,,,1,1
3067,Gemme exaltante,Epic,,1,,1,1,1
3068,Égide solaire,Legendary,,,,,1,
3070,Larme de la déesse,Starter,,,,,,
3071,Couperet noir,Legendary,,1,,,,
3072,Soif-de-sang,Legendary,1,1,,,,
3073,Hexplaque expérimentale,Legendary,,1,,,,
3074,Hydre vorace,Legendary,,1,,,,
3075,Cotte épineuse,Legendary,,,,,1,1
3076,Armure roncière,Epic,,,,,1,1
3077,Tiamat,Epic,,,1,,1,
3078,Force de la trinité,Legendary,,1,,,,
3082,Mailles du gardien,Epic,,,,,1,1
3083,Armure de Warmog,Legendary,,,,,1,
3084,Cœuracier,Legendary,,,,,1,
3085,Ouragan de Runaan,Legendary,1,,,,,
3086,Zèle,Epic,1,,,,,
3087,Poignard de Statikk,Legendary,1,,,,,
3089,Coiffe de Rabadon,Legendary,,,,1,,
3091,Au bout du rouleau,Legendary,1,1,,,,
3094,Canon ultrarapide,Legendary,1,,,,,
3097,Lame tempête,Legendary,1,,,,,
3100,Fléau de liche,Legendary,,,,1,,
3102,Voile de la banshee,Legendary,,,,1,,
3107,Rédemption,Legendary,,,,,,1
3108,Codex méphitique,Epic,,,,1,,1
3109,Vœu du chevalier,Legendary,,,,,1,1
3110,Cœur gelé,Legendary,,,,,1,1
3111,Sandales de Mercure,Boot,,1,1,1,1,1
3112,Orbe du gardien,Legendary,,,,,,
3113,Feu follet éthéré,Epic,,,,1,,1
3114,Idole interdite,Epic,,,,,,1
3115,Dent de Nashor,Legendary,1,,,1,,
3116,Sceptre de Rylai,Legendary,,,,1,,
3118,Malfaisance,Legendary,,,,1,,
3119,Approche de l'hiver,Legendary,,,,,1,
3123,Marque du bourreau,Epic,1,1,1,,,
3124,Lame enragée de Guinsoo,Legendary,1,,,,,
3133,Marteau de Caulfield,Epic,1,1,1,,,
3134,Dague dentelée,Epic,1,,1,,,
3135,Bâton du vide,Legendary,,,,1,,
3137,Fleur de crypte,Legendary,,,,1,,
3139,Cimeterre mercuriel,Legendary,1,1,,,,
3140,Ceinture de mercure,Epic,1,,,,,
3142,Lame spectre de Youmuu,Legendary,,,1,,,
3143,Présage de Randuin,Legendary,,,,,1,
3144,Fronde de l'éclaireur,Epic,1,,,,,
