Name,Id,Sexe,Resource,Role,ItemType,Starter,Item1,Item2,Item3,Item4,Item5,Item6
Aatrox,Aatrox,Male,Manaless,Top,Fighter,,6610,3161,6333,,,
Ahri,Ahri,Female,,Mid,Mage,,3118,3100,3157,,,
Akali,Akali,Female,Energy,Top,Mage,,3146,4645,3157,,,
Akshan,Akshan,Male,,Mid,Assassin,,6672,2523;6676,3036;6676,,,
Alistar,Alistar,Male,,Support,Tank,,3050,3869,3110,,,
Ambessa,Ambessa,Female,Energy,Top,Fighter,,6676,3161,6333,,,
Amumu,Amumu,Male,,Jungle,Tank,,6653,3068,6676,,,
Anivia,Anivia,Female,,Mid,Mage,,6657,3118,3157,,,
Annie,Annie,Female,,Mid,Mage,,3118,2525,4645,,,
Aphelios,Aphelios,Male,,Bot,Marksman,,6676;2523,3031,3036;3033;3046,,,
Ashe,Ashe,Female,,Bot,Marksman,,2523;6672,3046,3031,,,
Aurelion Sol,AurelionSol,Male,,Mid,Mage,,3116,6653,3157,,,
Aurora,Aurora,Female,,Mid,Mage,,4646,4645,3089,,,
Azir,Azir,Male,,Mid,Mage,,3115,3089,4645,,,
Bard,Bard,Male,,Support,Tank,,3742,3877,3190,,,
Bel'Veth,Belveth,Female,Manaless,Jungle,Fighter,,6672,6631,6333,,,
Blitzcrank,Blitzcrank,Male,,Support,Tank,,3190,3869,3050,,,
Brand,Brand,Male,,Jungle,Mage,,4645,3116,6653,,,
Braum,Braum,Male,,Support,Tank,,3190,3876,3109,,,
Briar,Briar,Female,Frenzy,Jungle,Fighter,,6676,3748,3036,,,
Caitlyn,Caitlyn,Female,,Bot,Marksman,,2523,3031,3036;3033;3094,,,
Camille,Camille,Female,,Top,Fighter,,3078,3074,6333,,,
Cassiopeia,Cassiopeia,Female,,Top,Mage,,6657,3003,3116,,,
Cho'Gath,Chogath,Male,,Top,Tank,,3084,2502,6665,,,
Corki,Corki,Male,,Bot,Marksman,,3078;3508,3031;6676;3004,3036;3033;3031;6676,,,
Darius,Darius,Male,,Top,Fighter,,6631,3053,3742,,,
Diana,Diana,Female,,Jungle,Mage,,3152,4633,3157,,,
Dr. Mundo,DrMundo,Male,Manaless,Top,Tank,,3084,3083,3748,,,
Draven,Draven,Male,,Bot,Marksman,,3072;2523,3031,3036;3033,,,
Ekko,Ekko,Male,,Jungle,Mage,,2510,4645,3089,,,
Elise,Elise,Female,,Jungle,Mage,,3100,4645,3157,,,
Evelynn,Evelynn,Female,,Jungle,Mage,,3100,3089,3135,,,
Ezreal,Ezreal,Male,,Bot,Marksman,,3078;3508,3004,3161;2517,,,
Fiddlesticks,Fiddlesticks,Male,,Jungle,Mage,,3152,3118,3157,,,
Fiora,Fiora,Female,,Top,Fighter,,3074,3078,6333,,,
Fizz,Fizz,Male,,Jungle,Mage,,3100,3157,3089,,,
Galio,Galio,Male,,Mid,Tank,,3152,4005,3157,,,
Gangplank,Gangplank,Male,,Top,Fighter,,3508,6676,3031,,,
Garen,Garen,Male,Manaless,Top,Fighter,,6631,3046,3033,,,
Gnar,Gnar,Male,Fury,Top,Fighter,,3078,3071,3053,,,
Gragas,Gragas,Male,,Top,Mage,,3152,3100,3135,,,
Graves,Graves,Male,,Jungle,Assassin,,6697,6676,3036,,,
Gwen,Gwen,Female,,Top,Mage,,2510,4645,3089,,,
Hecarim,Hecarim,Male,,Jungle,Fighter,,3161,6333,3156,,,
Heimerdinger,Heimerdinger,Male,,Top,Mage,,2503,3089,4645,,,
Hwei,Hwei,Male,,Mid,Mage,,2503,6653,4645,,,
Illaoi,Illaoi,Female,,Top,Fighter,,3071,6662,3053,,,
Irelia,Irelia,Female,,Top,Fighter,,3153,3181,3091,,,
Ivern,Ivern,Male,,Jungle,Support,,6620,6617,3504,,,
Janna,Janna,Female,,Support,Support,,6617,3870,3107,,,
Jarvan IV,JarvanIV,Male,,Jungle,Fighter,,6610,3071,3026,,,
Jax,Jax,Male,,Top,Fighter,,3078,6610,3053,,,
Jayce,Jayce,Male,,Top,Assassin,,3142,3004,6699,,,
Jhin,Jhin,Male,,Bot,Marksman,,6676;2523,3031;3094,3036;3033;3094;3031,,,
Jinx,Jinx,Female,,Bot,Marksman,,3032;2523,3031,3036;3033;3046,,,
K'Sante,KSante,Male,,Top,Tank,,6662,2502,3065,,,
Kai'Sa,Kaisa,Female,,Bot,Marksman,,6672;3087,3124,3115;3046,,,
Kalista,Kalista,Female,,Bot,Marksman,,3087;3153,3124,3302,,,
Karma,Karma,Female,,Support,Support,,6620,3870,6617,,,
Karthus,Karthus,Male,,Jungle,Mage,,2503,4645,3089,,,
Kassadin,Kassadin,Male,,Mid,Mage,,6657,3003,3118,,,
Katarina,Katarina,Female,Manaless,Mid,Mage,,3100,4645,3157,,,
Kayle,Kayle,Female,,Top,Mage,,3115,2510,3089,,,
Kayn,Kayn,Male,,Jungle,Assassin,,6699,6696,6694,,,
Kennen,Kennen,Male,Energy,Top,Mage,,3152,4645,3157,,,
Kha'Zix,Khazix,Male,,Jungle,Assassin,,3179,6699,3814,,,
Kindred,Kindred,Male,,Jungle,Assassin,,6672,6676,3033,,,
Kled,Kled,Male,Fury,Top,Fighter,,3748,3071,2501,,,
Kog'Maw,KogMaw,Male,,Bot,Marksman,,3124;3153,3124;3153,3302,,,
LeBlanc,Leblanc,Female,,Mid,Mage,,6655,4645,3089,,,
Lee Sin,LeeSin,Male,Energy,Jungle,Fighter,,6692,6610,6333,,,
Leona,Leona,Female,,Support,Tank,,3190,3877,3109,,,
Lillia,Lillia,Female,,Jungle,Mage,,6653,4633,3157,,,
Lissandra,Lissandra,Female,,Mid,Mage,,3118,4645,3089,,,
Locke,Locke,Male,,Mid,Mage,,3100,4645,3157,,,
Lucian,Lucian,Male,,Bot,Marksman,,3508,6675;3031,6675;3031,,,
Lulu,Lulu,Female,,Support,Support,,3504,3870,6617,,,
Lux,Lux,Female,,Mid,Mage,,6655,4645,3089,,,
Malphite,Malphite,Male,,Top,Tank,,3118,4646,4645,,,
Malzahar,Malzahar,Male,,Mid,Mage,,2503,6653,3116,,,
Maokai,Maokai,Male,,Jungle,Tank,,6653,2525,3742,,,
Master Yi,MasterYi,Male,,Jungle,Fighter,,6672,3124,3073,,,
Mel,Mel,Female,,Mid,Mage,,6655,4645,3089,,,
Milio,Milio,Male,,Support,Support,,6620,3870,6617,,,
Miss Fortune,MissFortune,Female,,Bot,Marksman,,3072;6676,3031,3036;3033,,,
Mordekaiser,Mordekaiser,Male,Manaless,Top,Mage,,3116,4633,6653,,,
Morgana,Morgana,Female,,Support,Support,,6653,3871,3157,,,
Naafiri,Naafiri,Female,,Jungle,Assassin,,6699,3071,6333,,,
Nami,Nami,Female,,Support,Support,,6620,3870,6617,,,
Nasus,Nasus,Male,,Top,Fighter,,3078,3110,3065,,,
Nautilus,Nautilus,Male,,Support,Tank,,3190,3869,2525,,,
Neeko,Neeko,Female,,Support,Mage,,4646,3152,3102,,,
Nidalee,Nidalee,Female,,Jungle,Mage,,3100,3152,3157,,,
Nilah,Nilah,Female,,Bot,Marksman,,6676;3032,3031,3036;3033,,,
Nocturne,Nocturne,Male,,Jungle,Fighter,,3073,6631,6333,,,
Nunu & Willump,Nunu,Male,,Jungle,Tank,,6653,3152,3742,,,
